City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Aswan,EG,76.3,Clear Sky,24.0934,32.907,Nuba Nile
419,Diffa,NE,76.37,Scattered Clouds,13.3154,12.6113,ProDAF/Diffa
421,Jesus Carranza,MX,78.28,Broken Clouds,17.4333,-95.0333,Cuarto atras de una iglesia
424,Itaituba,BR,80.76,Light Rain,-4.2761,-55.9836,Hotel Campos
428,Filingue,NE,87.91,Clear Sky,14.3521,3.3168,
432,Mollendo,PE,75.0,Scattered Clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
436,Port Keats,AU,80.67,Few Clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
439,Kupang,ID,78.13,Overcast Clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
447,Belmonte,BR,86.0,Overcast Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
449,Ixtapa,MX,83.84,Clear Sky,20.7,-105.2,Hotel Plaza Providencia
451,Daru,PG,79.05,Few Clouds,-9.0763,143.2092,Daru Lodge
457,Maragogi,BR,85.77,Broken Clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
463,Ugoofaaru,MV,81.7,Overcast Clouds,5.6667,73.0,Ungoofaaru Inn
472,Phibun Mangsahan,TH,78.78,Broken Clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
473,Marsh Harbour,BS,76.21,Light Rain,26.5412,-77.0636,Abaco Beach Resort
476,Port-Gentil,GA,84.16,Scattered Clouds,-0.7193,8.7815,Fengshui Residence
485,Arlit,NE,78.4,Clear Sky,18.7369,7.3853,Case de Passage De la Prefecture
488,Amahai,ID,77.05,Overcast Clouds,-3.3333,128.9167,HOTEL ISABELA
492,Phan Thiet,VN,76.84,Overcast Clouds,10.9333,108.1,Hotel Saigon-PT
493,Ngaoundere,CM,79.65,Scattered Clouds,7.3167,13.5833,Hotel Mentong Palace
494,Kloulklubed,PW,81.1,Broken Clouds,7.0419,134.2556,Storyboard Beach Resort
496,Praia,CV,82.94,Overcast Clouds,14.9215,-23.5087,LT Aparthotel
497,Pisco,PE,75.02,Clear Sky,-13.7,-76.2167,Hotel San Isidro Oficial
498,Ankazoabo,MG,83.68,Broken Clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
502,Malakal,SS,85.33,Broken Clouds,9.5334,31.6605,Nile Palace Hotel
504,Yagoua,CM,87.93,Scattered Clouds,10.3411,15.2329,Sahel Hotel
512,Key Largo,US,82.02,Clear Sky,25.0865,-80.4473,Bayside Inn Key Largo
519,Klang,MY,78.94,Few Clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
521,Kudahuvadhoo,MV,81.91,Overcast Clouds,2.6708,72.8944,Niyama Private Islands Maldives
525,Iralaya,HN,82.49,Clear Sky,15.0,-83.2333,Iglesia morava renovada
527,Amapa,BR,82.27,Overcast Clouds,1.0,-52.0,
529,Pundaguitan,PH,80.37,Overcast Clouds,6.3711,126.1689,Leonardo Family Beach House 1
531,Kidal,ML,84.15,Clear Sky,18.4411,1.4078,
