City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Oranjemund,NA,-28.55,16.4333,72.34,62,21,20.74,Few Clouds
171,Urdoma,RU,61.7533,48.5442,21.11,96,100,6.15,Light Snow
172,Ambilobe,MG,-13.2,49.05,73.36,94,22,1.28,Moderate Rain
173,Banda Aceh,ID,5.5577,95.3222,77.9,86,43,13.02,Scattered Clouds
174,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,70,97,10.94,Overcast Clouds
175,Borovoy,RU,55.4333,86.0833,0.68,65,19,6.71,Smoke
176,Ucluelet,CA,48.9329,-125.5528,34.11,58,5,3.36,Clear Sky
177,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,6.91,Few Clouds
178,Te Anau,NZ,-45.4167,167.7167,46.04,84,85,4.03,Overcast Clouds
179,Vieux-Habitants,GP,16.0589,-61.7659,83.77,58,8,13.62,Clear Sky
180,Fare,PF,-16.7,-151.0167,80.87,73,97,15.03,Light Rain
181,Canubing,PH,13.3572,121.1424,76.14,91,100,7.34,Overcast Clouds
182,Saldanha,ZA,-33.0117,17.9442,71.65,88,100,18.19,Overcast Clouds
183,Vila Velha,BR,-20.3297,-40.2925,78.75,87,75,11.5,Thunderstorm
184,Bethel,US,41.3712,-73.414,58.39,51,0,17.27,Clear Sky
185,Anloga,GH,5.7947,0.8973,88.02,77,97,15.35,Overcast Clouds
186,Tariba,VE,7.8188,-72.2243,75.76,42,94,6.2,Overcast Clouds
187,Greenville,US,35.6127,-77.3663,68.02,40,0,10.36,Clear Sky
188,Fortuna,US,40.5982,-124.1573,50.92,71,0,10.36,Clear Sky
189,Ikom,NG,5.9667,8.7063,95.38,20,88,4.81,Overcast Clouds
190,Aktash,RU,50.3,87.7333,-22.74,77,1,5.03,Clear Sky
191,Hay River,CA,60.8156,-115.7999,-23.82,76,40,3.44,Scattered Clouds
192,Ballina,AU,-28.8667,153.5667,71.56,74,100,11.5,Overcast Clouds
193,Lavrentiya,RU,65.5833,-171.0,-19.01,94,11,6.96,Few Clouds
194,Arua,UG,3.0201,30.9111,81.41,24,32,7.85,Scattered Clouds
195,Hackettstown,US,40.854,-74.8291,57.49,54,87,8.05,Overcast Clouds
196,Katsuura,JP,35.1333,140.3,41.14,57,99,3.33,Overcast Clouds
197,Kisangani,CD,0.5167,25.2,88.16,62,75,0.0,Broken Clouds
198,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,0.19,71,0,6.71,Clear Sky
199,La Palma,US,33.8464,-118.0467,80.91,28,1,5.01,Clear Sky
200,Cozumel,MX,20.5083,-86.9458,81.95,81,40,8.05,Scattered Clouds
201,Omama,JP,36.4333,139.2833,33.46,66,10,5.14,Clear Sky
202,Avarua,CK,-21.2078,-159.775,71.65,100,94,2.3,Overcast Clouds
203,Rocha,UY,-34.4833,-54.3333,67.6,95,100,11.36,Overcast Clouds
204,Sitka,US,57.0531,-135.33,40.89,81,100,16.11,Overcast Clouds
205,Salinopolis,BR,-0.6136,-47.3561,83.35,72,83,8.86,Broken Clouds
206,Constitucion,CL,-35.3333,-72.4167,72.84,51,1,7.05,Clear Sky
207,Hobyo,SO,5.3505,48.5268,77.58,67,98,16.91,Overcast Clouds
208,Xuanzhou,CN,30.9525,118.7553,41.85,97,100,1.63,Overcast Clouds
209,Bousso,TD,10.4795,16.7117,88.72,10,75,7.25,Broken Clouds
210,Troitskoye,RU,52.9821,84.6757,-2.11,98,6,5.75,Clear Sky
211,Kendari,ID,-3.945,122.4989,75.78,93,99,3.87,Overcast Clouds
212,Kruisfontein,ZA,-34.0033,24.7314,72.72,88,42,8.72,Scattered Clouds
213,Mehamn,NO,71.0357,27.8492,26.73,73,93,17.4,Snow
214,Hauterive,FR,46.0901,3.4459,47.16,60,100,1.88,Overcast Clouds
215,Tuatapere,NZ,-46.1333,167.6833,51.82,75,97,8.61,Overcast Clouds
216,Kahului,US,20.8947,-156.47,70.84,81,20,3.44,Few Clouds
217,Beyneu,KZ,45.3167,55.2,40.21,83,99,10.58,Overcast Clouds
218,Flensburg,DE,54.7833,9.4333,38.95,60,100,13.8,Overcast Clouds
